id;date;titre
11;1770;the art of draw and painting in water - colour wherein the principle of draw be lay down after natural and easy manner and youth direct in every thing that relate to this useful art accord to the practice of the best master to which be annex familiar direction whereby stranger in the art of draw may be readily teach to delineate any view or prospect with the utmost exact - ness of colour any print or draw in the most elegant manner and of take off medal instantly after variety of different way never before make public intermix with curious receipt for the use of painter statuary founder with instruction for prepare mixing and manage all sorte of water - colour use in painting so as to represent nature in the greatest perfection
50;1750;the art of painting with the life and character of above of the most eminent painter contain complete treatise of painting design and the use of print with reflexion on the work of the most celebrate master and of the several school of europe as well ancient as modern be the most perfect work of the kind extant translate from the french of monsieur de pile to which be add a essay towards a english school
1;1739;the art of painting in miniature teach the speedy and perfect acquisition of that art without master by rule so easy and in method so natural as to render this charming accomplishment universally astainable contain the difference between painting in miniature and other kind of painting ii the management of colour in drapery linnen lace furr iii the method of mixing colour for carnation for painting or architecture or any building of stone or wood for landskip terrass water ruin reck iv the art if painting all sort of flower with the proper colour require to represent nature to the highest perfection the various method of painting
41;1800;the art of painting in oil render familiar to every capacity extract from the work of the most eminent master of the italian flemish and english school to which be prefixe the method of mixing color to the various teint use both for portrait landscape
17;1778;the art of painting in all its branch methodically demonstrate by remark on the painting of the best master and they perfection and oversight lay open
12;1772;the artist assistant in draw perspective etch engrave mezzotint - scrape painting on glass in crayon in water - colour and on silk and satin contain the easiest and most comprehensive rule for the attainment of those truly useful and polite art methodically digest and adapt to the capacity of young beginner illustrate with suitable example engrave on copper
20;1785;the artist assistant in the study and practise of mechanical science calculate for the improvement of genius illustrate with copper - plate 
27;1803;the artist assistant or school of science form practical introduction to the polite art in painting draw design perspective engrave colour with ample direction for japanning enamel gild silver lacquer and valuable selection of miscellaneous secret illustrate with plate
7;1762;the artist vake mecum be the whole art of draw teach in new work elegantly engrave on one hundred folio copper plate contain great variety of example in every branch of that noble art part of the face head hand foot academy antique and groupe of figure beast bird insect flower fruit shell ornament building landscape collect from the work of the greatest master to which be prefixe a essay on draw with introductory rule for the use of learner in which the first principle of that useful and noble art be explain in such manner that it may be attain in short time without master
21;1786;the complete draw - book contain many curious specimen under the follow head select part of the human body academy and group of figure beast and bird of various kind landscape shipping flower with several outline render easier to the comprehension of beginner than any book of this kind hitherto make public the whole neatly engrave on one hundred octavo copperplate from le clerc rembrandt barlow spilsbury le brun berghem chatelin callot and other the best master to which be annex proper instruction to youth for thelr improvement and entertainment in this art
8;1763;the compleat draw - master contain many curious specimen as the several part ofthe human body whole figure landskip cattle building neatly engrave on copper-plate after the design of the greatest master wherein the principle of draw be lay down after natural and easy manner to which be prefix\ some general instruction to form the judgment of young beginner by which that useful art may be attain in short time without master 
14;1774;the draw school for little master and miss contain the most easy and concise rule for learn to draw without the assistance of teacher emibellish with great variety of figure curiously design to which be add the whole art of kite making and the author\ new discovery in the preparation of water - colour
29;1782;the practice of painting make easy in which be contain the art of painting in oil with the method of colour under the head of first painting or dead - colour second painting third or last painting painting back - grounds on copy drapery and landscape painting
6;1756;the practise of painting and perspective make easy in which be contain the art of painting in oil with the method of colour under the head of first painting or dead - painting back - grounds colour on copy second painting drapery - painting third or last painting landscape painting and new short and familiar account of the art of perspective illustrate with copper-plate engrave by mo . vivare by thomas bardwell painter 
15;1777;the principle of design for the curious young gentleman and lady who study and practice the noble and commendable art of draw color and japanning or new and complete draw - book consist variety of whole figure in diver position and all the several part pf the human body from head to foot in fifty copper-plate neatly engrave design chiefly for young beginner very necessary and useful for all draw school boarding - school to which be prefixe a introduction to draw contain description of the instrument and they respective use the material proper for draw rule for manage the pencil and the best method for attain perfection in the art with instruction by which young practitioner shall be enable to form judgment as well of he own performance as those of other with easy proper and necessary lesson for he at he first entrance also the name of the colour use with instruction to temper and mix they and fit they for painting likewise colour for wash landskip or print of any kind
9;1764;the principle of draw or a easy and familiar method for the improvement of youth - in the practice of that useful art be compleat draw book contain curious collection of example in all the variety of case as the several part of the human body whole figure landskip cattle curiously engrave on copper-plate after the design of albert durer abrah bloemart carlo morac le clerc hollar and other great master to which be prefix a introduction to draw contain a account of the instrument and material use in draw and the method of manage they with easy and proper lesson for young beginner tend to form he judgment and direct he practice
3;1743;the principle of painting under the head of harmony contrast passion anatomy history colour portraiture attitude invention sculpture design accident landskip style disposition architecture light truth drapery composition proportion claro - obscuro unity expression in which be contain a account of the athenian roman venetian and flemish school to which be add the balance of painter be the name of the most note pajnter and they degree of perfection in the four principal part of they art of singular use to those who would form a idea of the value of painting and picture 
25;1799;the rudiment of draw collect from the design of the most approve master on copper plate
18;1782;the school of raphael or the student guide to expression in historical painting illustrate by example engrave by duchange and other under the inspection of sir nichola dorigny from he own drawing after the most celebrate head in the carton at the queen\ palace to which be now add the outline of each head and also several plate of the antique statue skeleton and anatomical figure most celebrate engrave by a eminent artist with instruction for young student in the art of design and the passion as characterise by raphael in the carton describe and explain by benjamin ralph
58;1773;the whole art of painting in water - colour exemplify in landscape flower together with instruction for painting on glass and in crayon explain in full and familiar manner with particular direction for prepare the color agreeable to the practice of the most eminent master
24;1794;the work of the late professor camper on the connexion between the science of anatomy and the art of draw painting statuary in two book contain treatise on the natural difference of feature in person of different country and period of life and on beauty as exhibit in ancient sculpture with new method of sketch head national feature and portrait of individuel with accuracy illustrate with seventeen plate explanatory of the professor\ lead principle
